번호	날짜	휴일명
1	1949-01-01	신정
2	1949-01-02	신정
3	1949-01-03	신정
4	1949-03-01	3·1절
5	1949-04-05	식목일
6	1949-07-17	제헌절
7	1949-08-15	광복절
8	1949-10-03	개천절
9	1949-10-06	추석
10	1949-10-09	한글날
11	1949-12-25	성탄절
12	1950-01-01	신정
13	1950-01-02	신정
14	1950-01-03	신정
15	1950-03-01	3·1절
16	1950-04-05	식목일
17	1950-07-17	제헌절
18	1950-08-15	광복절
19	1950-09-26	추석
20	1950-10-03	개천절
21	1950-10-09	한글날
22	1950-10-24	국제연합일
23	1950-12-25	성탄절
24	1951-01-01	신정
25	1951-01-02	신정
26	1951-01-03	신정
27	1951-03-01	3·1절
28	1951-07-17	제헌절
29	1951-08-15	광복절
30	1951-09-15	추석
31	1951-10-03	개천절
32	1951-10-09	한글날
33	1951-10-24	국제연합일
34	1951-12-25	성탄절
35	1952-01-01	신정
36	1952-01-02	신정
37	1952-01-03	신정
38	1952-03-01	3·1절
39	1952-04-05	식목일
40	1952-07-17	제헌절
41	1952-08-15	광복절
42	1952-10-03	개천절
43	1952-10-09	한글날
44	1952-10-24	국제연합일
45	1952-12-25	성탄절
46	1953-01-01	신정
47	1953-01-02	신정
48	1953-01-03	신정
49	1953-03-01	3·1절
50	1953-04-05	식목일
51	1953-07-17	제헌절
52	1953-08-15	광복절
53	1953-09-22	추석
54	1953-10-03	개천절
55	1953-10-09	한글날
56	1953-10-24	국제연합일
57	1953-12-25	성탄절
58	1954-01-01	신정
59	1954-01-02	신정
60	1954-01-03	신정
61	1954-03-01	3·1절
62	1954-04-05	식목일
63	1954-07-17	제헌절
64	1954-08-15	광복절
65	1954-09-11	추석
66	1954-10-03	개천절
67	1954-10-09	한글날
68	1954-10-24	국제연합일
69	1954-12-25	성탄절
70	1955-01-01	신정
71	1955-01-02	신정
72	1955-01-03	신정
73	1955-03-01	3·1절
74	1955-04-05	식목일
75	1955-07-17	제헌절
76	1955-08-15	광복절
77	1955-09-30	추석
78	1955-10-03	개천절
79	1955-10-09	한글날
80	1955-10-24	국제연합일
81	1955-12-25	성탄절
82	1956-01-01	신정
83	1956-01-02	신정
84	1956-01-03	신정
85	1956-03-01	3·1절
86	1956-04-05	식목일
87	1956-06-06	현충일
88	1956-07-17	제헌절
89	1956-08-15	광복절
90	1956-09-19	추석
91	1956-10-03	개천절
92	1956-10-09	한글날
93	1956-10-24	국제연합일
94	1956-12-25	성탄절
95	1957-01-01	신정
96	1957-01-02	신정
97	1957-01-03	신정
98	1957-03-01	3·1절
99	1957-04-05	식목일
100	1957-06-06	현충일
101	1957-07-17	제헌절
102	1957-08-15	광복절
103	1957-09-08	추석
104	1957-10-03	개천절
105	1957-10-24	국제연합일
106	1957-12-25	성탄절
107	1958-01-01	신정
108	1958-01-02	신정
109	1958-01-03	신정
110	1958-03-01	3·1절
111	1958-04-05	식목일
112	1958-06-06	현충일
113	1958-07-17	제헌절
114	1958-08-15	광복절
115	1958-09-27	추석
116	1958-10-03	개천절
117	1958-10-09	한글날
118	1958-10-24	국제연합일
119	1958-12-25	성탄절
120	1959-01-01	신정
121	1959-01-02	신정
122	1959-01-03	신정
123	1959-03-01	3·1절
124	1959-04-05	식목일
125	1959-06-06	현충일
126	1959-07-17	제헌절
127	1959-08-15	광복절
128	1959-09-17	추석
129	1959-10-03	개천절
130	1959-10-09	한글날
131	1959-10-24	국제연합일
132	1959-12-25	성탄절
133	1960-01-01	신정
134	1960-01-02	신정
135	1960-01-03	신정
136	1960-03-01	3·1절
137	1960-03-15	사방의날
138	1960-06-06	현충일
139	1960-07-17	제헌절
140	1960-08-15	광복절
141	1960-10-03	개천절
142	1960-10-05	추석
143	1960-10-09	한글날
144	1960-10-24	국제연합일
145	1960-12-25	성탄절
146	1961-01-01	신정
147	1961-01-02	신정
148	1961-01-03	신정
149	1961-03-01	3·1절
150	1961-04-05	식목일
151	1961-06-06	현충일
152	1961-07-17	제헌절
153	1961-08-15	광복절
154	1961-09-24	추석
155	1961-10-03	개천절
156	1961-10-09	한글날
157	1961-10-24	국제연합일
158	1961-12-25	성탄절
159	1962-01-01	신정
160	1962-01-02	신정
161	1962-01-03	신정
162	1962-03-01	3·1절
163	1962-04-05	식목일
164	1962-06-06	현충일
165	1962-07-17	제헌절
166	1962-08-15	광복절
167	1962-09-13	추석
168	1962-10-03	개천절
169	1962-10-09	한글날
170	1962-10-24	국제연합일
171	1962-12-25	성탄절
172	1963-01-01	신정
173	1963-01-02	신정
174	1963-01-03	신정
175	1963-03-01	3·1절
176	1963-04-05	식목일
177	1963-06-06	현충일
178	1963-07-17	제헌절
179	1963-08-15	광복절
180	1963-10-02	추석
181	1963-10-09	한글날
182	1963-10-24	국제연합일
183	1963-12-25	성탄절
184	1964-01-01	신정
185	1964-01-02	신정
186	1964-01-03	신정
187	1964-03-01	3·1절
188	1964-04-05	식목일
189	1964-06-06	현충일
190	1964-07-17	제헌절
191	1964-08-15	광복절
192	1964-09-20	추석
193	1964-10-03	개천절
194	1964-10-09	한글날
195	1964-10-24	국제연합일
196	1964-12-25	성탄절
197	1965-01-01	신정
198	1965-01-02	신정
199	1965-01-03	신정
200	1965-03-01	3·1절
201	1965-04-05	식목일
202	1965-06-06	현충일
203	1965-07-17	제헌절
204	1965-08-15	광복절
205	1965-09-10	추석
206	1965-10-03	개천절
207	1965-10-09	한글날
208	1965-10-24	국제연합일
209	1965-12-25	성탄절
210	1966-01-01	신정
211	1966-01-02	신정
212	1966-01-03	신정
213	1966-03-01	3·1절
214	1966-04-05	식목일
215	1966-06-06	현충일
216	1966-07-17	제헌절
217	1966-08-15	광복절
218	1966-09-29	추석
219	1966-10-03	개천절
220	1966-10-09	한글날
221	1966-10-24	국제연합일
222	1966-12-25	성탄절
223	1967-01-01	신정
224	1967-01-02	신정
225	1967-01-03	신정
226	1967-03-01	3·1절
227	1967-04-05	식목일
228	1967-06-06	현충일
229	1967-07-17	제헌절
230	1967-08-15	광복절
231	1967-09-18	추석
232	1967-10-03	개천절
233	1967-10-09	한글날
234	1967-10-24	국제연합일
235	1967-12-25	성탄절
236	1968-01-01	신정
237	1968-01-02	신정
238	1968-01-03	신정
239	1968-03-01	3·1절
240	1968-04-05	식목일
241	1968-06-06	현충일
242	1968-07-17	제헌절
243	1968-08-15	광복절
244	1968-10-03	개천절
245	1968-10-06	추석
246	1968-10-09	한글날
247	1968-10-24	국제연합일
248	1968-12-25	성탄절
249	1969-01-01	신정
250	1969-01-02	신정
251	1969-01-03	신정
252	1969-03-01	3·1절
253	1969-04-05	식목일
254	1969-06-06	현충일
255	1969-07-17	제헌절
256	1969-08-15	광복절
257	1969-09-26	추석
258	1969-10-03	개천절
